UPC,LONG PRODUCT DESCRIPTION,BC CATEGORY,BC SUB CATEGORY,BC SEGMENT,RANDOM WEIGHT,BRAND OWNER HIGH,BASE SIZE,HW ORGANIC,PACK SIZE
200105400327,CTL BR SHLT PC LF BAG 6 OZ,ONIONS,SHALLOT,LEAF,NO,PRIVATE LABEL,6 OUNCE,NOT APPLICABLE,NOT APPLICABLE
063094341900,INCR FRS GRN ONN SLCD MLDD TRY 3 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,COLLIER COUNTY PRODUCE INC,3 OUNCE,NOT APPLICABLE,NOT APPLICABLE
437582845792,MLTP VL SCLN ORGN SLD SNGL VGTB 1 CT,ONIONS,GREEN,WHOLE,YES,MULTIPLE BRANDS,1 COUNT,ORGANIC,NOT APPLICABLE
063094340600,INCR FRS RED ONN DCD MLDD TRY 8 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,COLLIER COUNTY PRODUCE INC,8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
517582867498,GRN ONN ORGN BNCH SNGL VGTB 16 OZ,ONIONS,GREEN,BUNCH,YES,NO COMPANY LISTED,16 OUNCE,ORGANIC,NOT APPLICABLE
065938900011,HRND CNT FRM VDL ONN WHL BAG IN SLV 64 OZ,ONIONS,SWEET,WHOLE,NO,L.G. HERNDON JR. FARMS INC,64 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003383602820,HRND CNT FRM SWT ONN WHL BAG 48 OZ,ONIONS,SWEET,WHOLE,NO,L.G. HERNDON JR. FARMS INC,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
317582894159,MLTP VL VDL ONN ORGN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,1 COUNT,ORGANIC,NOT APPLICABLE
004525514233,MLSS SHLT WHL BAG 8 OZ,ONIONS,SHALLOT,WHOLE,NO,"WORLD VARIETY PRODUCE, INC.",8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003260103215,EART FRM YLW ONN ORGN WHL JMB BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,TAYLOR FRESH FOODS INC,48 OUNCE,ORGANIC,NOT APPLICABLE
427582894653,WHT ONN SNGL VGTB 1 CT,ONIONS,WHITE,WHOLE,YES,NO COMPANY LISTED,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
082676679064,RNSN FD RED ONN DCD MLDD TRY 5 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,CALAVO GROWERS INC,5 OUNCE,NOT APPLICABLE,NOT APPLICABLE
088361600215,FRNT PRD YLW ONN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,FRONTERA PRODUCE LTD,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
071731100378,BLND FRM SWT ONN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,BLAND FARMS,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
537582885040,ONN LRG SNGL VGTB 16 OZ,ONIONS,REMAINING ONIONS,WHOLE,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
084592002092,GRDN GRV FRM RED ONN WHL BAG 32 OZ,ONIONS,RED,WHOLE,NO,PRODUCE PACKAGING LTD.,32 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582876186,MLTP VL RED ONN DCD SNGL VGTB 16 OZ,ONIONS,VALUE ADD,MEAL PREP,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
437582801527,RED ONN SLCD SNGL VGTB 16 OZ,ONIONS,VALUE ADD,MEAL PREP,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582862390,MLTP VL YLW ONN WHL SNGL VGTB 1 CT,ONIONS,YELLOW,WHOLE,YES,MULTIPLE BRANDS,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
007087304015,AURP WHT BLR ONN WHL BAG 16 OZ,ONIONS,WHITE,WHOLE,NO,MAURICE A AUERBACH INC,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003383600024,PRDC ELC ID YLW ONN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,PRODUCE ELECTRONIC ID BOARD,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
002791899411,TNMR & ANT ART SWT ITLN RED ONN WHL BAG 96 OZ,ONIONS,SWEET,WHOLE,NO,"TANIMURA & ANTLE, INC.",96 OUNCE,NOT APPLICABLE,NOT APPLICABLE
200112679942,CTL BR ONN WHL 16 OZ,ONIONS,REMAINING ONIONS,WHOLE,NO,PRIVATE LABEL,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
005026903286,KYST FRT MRK RED ONN WHL SNGL VGTB 16 OZ,ONIONS,RED,WHOLE,YES,"KEYSTONE FRUIT MARKETING,INC.",16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
201543185924,CTL BR GRN ONN CHPD BAG 4 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,PRIVATE LABEL,4 OUNCE,NOT APPLICABLE,NOT APPLICABLE
527582819805,ONN CCKT SNGL VGTB 1 CT,ONIONS,REMAINING ONIONS,WHOLE,YES,NO COMPANY LISTED,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
081239601738,BLND FRM SWT ONN WHL BAG IN SLV 96 OZ,ONIONS,SWEET,WHOLE,NO,BLAND FARMS LLC,96 OUNCE,NOT APPLICABLE,NOT APPLICABLE
081368201539,MLTP VL YLW ONN SNGL VGTB BAG 16 OZ,ONIONS,YELLOW,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582816677,DVN CPLN ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,FOOD MATCH INC,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
073571800018,LN STR SWT ONN WHL BAG 96 OZ,ONIONS,SWEET,WHOLE,NO,VILLAGE FARMS,96 OUNCE,NOT APPLICABLE,NOT APPLICABLE
081128902002,MLTP VL YLW ONN JMB SNGL VGTB 16 OZ,ONIONS,YELLOW,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
086000067058,HM GRW YLW ONN ORGN CRTF ORGN BY CF WHL BAG ON CRD 32 OZ,ONIONS,YELLOW,WHOLE,NO,ONIONS ETC INC,32 OUNCE,ORGANIC,NOT APPLICABLE
088567793712,PR & SNS FRM SWT ONN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,PERI & SONS FARMS INC,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
201568706563,CTL BR GRN ONN ORGN CRTF ORGN BY CF WHL BAG 5.5 OZ,ONIONS,GREEN,WHOLE,NO,PRIVATE LABEL,5.5 OUNCE,ORGANIC,NOT APPLICABLE
317582893286,MLTP VL SWT ITLN RED ONN ORGN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,1 COUNT,ORGANIC,NOT APPLICABLE
002630390152,G & R FRM SWT ONN WHL BAG 48 OZ,ONIONS,SWEET,WHOLE,NO,G & R FARMS,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
004500989039,MLTP VL YLW ONN SNGL VGTB 16 OZ,ONIONS,YELLOW,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
088120000011,SNNS ONN WHL 32 OZ,ONIONS,REMAINING ONIONS,WHOLE,NO,PERI & SONS FARMS INC,32 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582859712,RED SWT ONN JMB SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
071752431280,DEL MNT RED ONN DCD MLDD TRY 8 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,FRESH DEL MONTE PRODUCE INC,8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
200476553219,CTL BR ONN DCD MLDD TRY 10 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,PRIVATE LABEL,10 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582894611,ONN SNGL VGTB BAG 1 CT,ONIONS,REMAINING ONIONS,WHOLE,YES,NO COMPANY LISTED,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
081239601004,MCHL CTL SWT ONN SNGL VGTB 1 CT,ONIONS,SWEET,WHOLE,YES,MICHAEL CUTLER COMPANY,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
201627470848,CTL BR YLW ONN 100 PCT ORGN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,PRIVATE LABEL,48 OUNCE,ORGANIC,NOT APPLICABLE
200721145857,CTL BR GRN ONN ORGN CRTF ORGN BY CF WHL BNDD 1 CT,ONIONS,GREEN,WHOLE,NO,PRIVATE LABEL,1 COUNT,ORGANIC,NOT APPLICABLE
081239601002,SWT ONN WHL BAG 80 OZ,ONIONS,SWEET,WHOLE,NO,NO COMPANY LISTED,80 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003784204609,FRDS CPLN ONN WHL BAG 8 OZ,ONIONS,SWEET,WHOLE,NO,"FRIEDA'S, INC.",8 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003338300002,PRDC ELC ID YLW ONN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,PRODUCE ELECTRONIC ID BOARD,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
006779690001,LDYB YLW ONN CRTF ORGN BY WSHN STT DPRT AGRC ORGN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,ORGANICALLY GROWN COMPANY,48 OUNCE,ORGANIC,NOT APPLICABLE
003918660051,ALSM WHT ONN WHL BAG 32 OZ,ONIONS,WHITE,WHOLE,NO,ALSUM PRODUCE INC,32 OUNCE,NOT APPLICABLE,NOT APPLICABLE
201562970116,CTL BR YLW ONN WHL BAG 32 OZ,ONIONS,YELLOW,WHOLE,NO,PRIVATE LABEL,32 OUNCE,NOT APPLICABLE,NOT APPLICABLE
201146716673,CTL BR YLW ONN WHL BAG 48 OZ,ONIONS,YELLOW,WHOLE,NO,PRIVATE LABEL,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
007457485913,CHRS RNC PRL ONN WHL BAG 6 OZ,ONIONS,PEARL,WHOLE,NO,CHRISTOPHER RANCH,6 OUNCE,NOT APPLICABLE,NOT APPLICABLE
085312000315,CDY SHF PRD RED ONN WHL BAG 32 OZ,ONIONS,RED,WHOLE,NO,SHIFLETT FARMS,32 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582863575,MLTP VL WHT ONN WHL PLD SNGL VGTB 16 OZ,ONIONS,VALUE ADD,MEAL PREP,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
085347600303,RED ONN ORGN WHL BAG 1 CT,ONIONS,RED,WHOLE,NO,NO COMPANY LISTED,1 COUNT,ORGANIC,NOT APPLICABLE
081305501891,MLTP VL GRN ONN SNGL VGTB 16 OZ,ONIONS,GREEN,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
307582804161,MLTP VL SWT ONN SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
437582849162,MLTP VL ONN SLCD SNGL VGTB 16 OZ,ONIONS,VALUE ADD,MEAL PREP,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
086000267622,WHT ONN WHL JMB BAG 16 OZ,ONIONS,WHITE,WHOLE,NO,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
